area,tipo_incidente,severidad,costo_directo,dias_perdidos
Almacén,Caída,Grave,73578.58,21
Oficinas,Caída,Moderado,9513.07,7
Producción,Caída,Leve,2716.81,2
Transporte,Caída,Leve,2501.13,1
Mantenimiento,Caída,Leve,2129.18,1
Mantenimiento,Caída,Leve,934.54,0
Transporte,Caída,Leve,3930.84,1
Transporte,Caída,Leve,1961.46,2
Producción,Caída,Moderado,24819.73,3
Construcción,Caída,Leve,1934.08,2
Producción,Caída,Leve,1407.16,0
Laboratorio,Caída,Leve,4097.04,1
Construcción,Caída,Moderado,21447.00,2
Almacén,Caída,Moderado,9735.49,9
Perforación,Caída,Leve,1690.13,1
Perforación,Caída,Leve,1998.68,1
Transporte,Caída,Leve,513.57,0
Mantenimiento,Caída,Moderado,23724.82,4
Construcción,Caída,Moderado,10495.54,9
Perforación,Caída,Leve,4303.98,1
