fecha,costo_del_dia,costo_acumulado
2022-01-01,1645.31,1645.31
2022-01-02,170998.52,172643.83
2022-01-03,1831.60,174475.43
2022-01-05,24588.76,199064.19
2022-01-06,33844.80,232908.99
2022-01-07,136582.66,369491.65
2022-01-08,55321.42,424813.07
2022-01-10,75489.26,500302.33
2022-01-12,271647.41,771949.74
2022-01-14,14847.32,786797.06
2022-01-15,252183.35,1038980.41
2022-01-18,4222.76,1043203.17
2022-01-19,49619.85,1092823.02
2022-01-21,101152.78,1193975.80
2022-01-22,124306.56,1318282.36
2022-01-23,27953.69,1346236.05
2022-01-24,35855.19,1382091.24
2022-01-25,30201.96,1412293.20
2022-01-26,8253.73,1420546.93
2022-01-27,3167.36,1423714.29
2022-01-28,12181.45,1435895.74
2022-01-29,8864.03,1444759.77
2022-01-30,25812.96,1470572.73
2022-01-31,76506.38,1547079.11
2022-02-01,59637.32,1606716.43
2022-02-02,48151.48,1654867.91
2022-02-03,76894.11,1731762.02
2022-02-05,12613.92,1744375.94
2022-02-07,267503.05,2011878.99
2022-02-08,92770.22,2104649.21
2022-02-10,6903.48,2111552.69
2022-02-11,57687.56,2169240.25
2022-02-13,22206.03,2191446.28
2022-02-14,32584.62,2224030.90
2022-02-16,185710.33,2409741.23
2022-02-19,1485.50,2411226.73
2022-02-20,33285.89,2444512.62
2022-02-21,41589.22,2486101.84
2022-02-22,160799.13,2646900.97
2022-02-23,4742.54,2651643.51
2022-02-24,3008.56,2654652.07
2022-02-25,34172.57,2688824.64
2022-02-26,15177.95,2704002.59
2022-02-27,25569.98,2729572.57
2022-02-28,91494.76,2821067.33
2022-03-01,7749.46,2828816.79
2022-03-02,12527.54,2841344.33
2022-03-03,96380.64,2937724.97
2022-03-04,13966.50,2951691.47
2022-03-05,802.55,2952494.02
2022-03-07,1243.33,2953737.35
2022-03-08,6598.73,2960336.08
2022-03-09,14126.33,2974462.41
2022-03-10,5212.48,2979674.89
2022-03-12,190088.23,3169763.12
2022-03-13,15888.05,3185651.17
2022-03-14,2217.22,3187868.39
2022-03-15,153430.17,3341298.56
2022-03-16,5343.41,3346641.97
2022-03-17,43103.28,3389745.25
2022-03-18,4229.62,3393974.87
2022-03-19,19639.32,3413614.19
2022-03-20,1338.07,3414952.26
2022-03-21,79076.33,3494028.59
2022-03-22,15837.61,3509866.20
2022-03-23,356311.04,3866177.24
2022-03-24,29174.97,3895352.21
2022-03-26,33083.04,3928435.25
2022-03-27,238878.58,4167313.83
2022-03-28,92170.63,4259484.46
2022-03-30,96064.23,4355548.69
2022-03-31,4723.69,4360272.38
2022-04-01,94615.96,4454888.34
2022-04-02,19328.06,4474216.40
2022-04-03,171570.01,4645786.41
2022-04-04,1070.22,4646856.63
2022-04-05,104620.57,4751477.20
2022-04-07,35534.43,4787011.63
2022-04-09,4184.84,4791196.47
2022-04-10,63405.90,4854602.37
2022-04-11,4709.65,4859312.02
2022-04-12,92385.83,4951697.85
2022-04-13,83894.96,5035592.81
2022-04-14,91896.67,5127489.48
2022-04-15,23469.22,5150958.70
2022-04-16,34919.28,5185877.98
2022-04-17,5051.94,5190929.92
2022-04-18,1909.36,5192839.28
2022-04-19,34574.97,5227414.25
2022-04-20,287187.75,5514602.00
2022-04-21,3360.59,5517962.59
2022-04-22,20642.01,5538604.60
2022-04-23,102941.02,5641545.62
2022-04-24,23525.24,5665070.86
2022-04-25,12894.76,5677965.62
2022-04-27,7038.27,5685003.89
2022-04-28,2148.21,5687152.10
2022-04-29,4636.22,5691788.32
2022-04-30,33503.47,5725291.79
2022-05-01,4114.77,5729406.56
2022-05-02,26873.08,5756279.64
2022-05-03,38698.25,5794977.89
2022-05-04,3953.51,5798931.40
2022-05-05,4140.64,5803072.04
2022-05-06,13678.16,5816750.20
2022-05-07,102133.67,5918883.87
2022-05-08,15279.93,5934163.80
2022-05-09,57571.64,5991735.44
2022-05-11,47525.66,6039261.10
2022-05-12,2683.37,6041944.47
2022-05-13,15613.84,6057558.31
2022-05-14,7176.74,6064735.05
2022-05-15,4324.68,6069059.73
2022-05-16,24047.17,6093106.90
2022-05-17,1118.70,6094225.60
2022-05-18,211391.18,6305616.78
2022-05-19,846.66,6306463.44
2022-05-20,35539.11,6342002.55
2022-05-22,93096.09,6435098.64
2022-05-23,7993.54,6443092.18
2022-05-24,34417.95,6477510.13
2022-05-25,64057.33,6541567.46
2022-05-26,2360.49,6543927.95
2022-05-27,95226.84,6639154.79
2022-05-28,14683.01,6653837.80
2022-05-30,61056.39,6714894.19
2022-05-31,511589.99,7226484.18
2022-06-01,89446.24,7315930.42
2022-06-03,223536.34,7539466.76
2022-06-04,20972.02,7560438.78
2022-06-05,731.30,7561170.08
2022-06-06,3808.48,7564978.56
2022-06-07,38405.62,7603384.18
2022-06-08,1683.22,7605067.40
2022-06-09,48113.42,7653180.82
2022-06-10,55043.85,7708224.67
2022-06-11,8480.41,7716705.08
2022-06-13,852.06,7717557.14
2022-06-16,17317.95,7734875.09
2022-06-18,467087.30,8201962.39
2022-06-19,62240.97,8264203.36
2022-06-20,152816.64,8417020.00
2022-06-22,24819.73,8441839.73
2022-06-23,172568.41,8614408.14
2022-06-25,1819.21,8616227.35
2022-06-26,22501.03,8638728.38
2022-06-27,16871.27,8655599.65
2022-06-29,13226.18,8668825.83
2022-06-30,1883.88,8670709.71
2022-07-01,188205.65,8858915.36
2022-07-02,155084.12,9013999.48
2022-07-03,69482.12,9083481.60
2022-07-04,5872.95,9089354.55
2022-07-05,7961.12,9097315.67
2022-07-07,1192.63,9098508.30
2022-07-08,3048.93,9101557.23
2022-07-09,4737.63,9106294.86
2022-07-10,219429.78,9325724.64
2022-07-11,108027.15,9433751.79
2022-07-12,9978.19,9443729.98
2022-07-13,45908.89,9489638.87
2022-07-15,23811.41,9513450.28
2022-07-17,984.58,9514434.86
2022-07-18,330095.97,9844530.83
2022-07-19,5371.94,9849902.77
2022-07-20,328454.45,10178357.22
2022-07-22,83646.71,10262003.93
2022-07-23,51075.03,10313078.96
2022-07-24,480580.02,10793658.98
2022-07-25,14389.21,10808048.19
2022-07-26,57070.56,10865118.75
2022-07-27,7808.76,10872927.51
2022-07-28,59903.69,10932831.20
2022-07-29,80219.84,11013051.04
2022-07-30,11802.94,11024853.98
2022-07-31,20934.70,11045788.68
2022-08-01,77305.87,11123094.55
2022-08-02,54541.38,11177635.93
2022-08-03,4671.62,11182307.55
2022-08-04,8137.61,11190445.16
2022-08-05,61100.34,11251545.50
2022-08-06,6522.65,11258068.15
2022-08-07,18571.46,11276639.61
2022-08-08,18321.98,11294961.59
2022-08-09,28261.23,11323222.82
2022-08-11,412781.41,11736004.23
2022-08-12,103182.60,11839186.83
