anio,mes,total_incidentes,costo_total,mes_anterior,cambio_pct
2022,1,46,1547079.11,NULL,NULL
2022,2,54,1273988.22,46,17.39
2022,3,53,1539205.05,54,-1.85
2022,4,58,1365019.41,53,9.43
2022,5,57,1501192.39,58,-1.72
2022,6,52,1444225.53,57,-8.77
2022,7,65,2375078.97,52,25.00
2022,8,50,1080663.05,65,-23.08
2022,9,57,1703095.54,50,14.00
2022,10,43,1701697.34,57,-24.56
2022,11,46,1436211.70,43,6.98
2022,12,61,2046544.07,46,32.61
2023,1,65,1405506.42,61,6.56
2023,2,53,2382261.33,65,-18.46
2023,3,57,1116676.89,53,7.55
2023,4,52,1366553.01,57,-8.77
2023,5,67,1549565.66,52,28.85
2023,6,58,2621290.84,67,-13.43
2023,7,57,2373247.66,58,-1.72
2023,8,59,1046901.25,57,3.51
2023,9,54,1361107.15,59,-8.47
2023,10,51,1411787.43,54,-5.56
2023,11,54,1964081.58,51,5.88
2023,12,50,1758243.32,54,-7.41
2024,1,50,1399535.39,50,0.00
2024,2,55,1992157.52,50,10.00
2024,3,66,1032524.74,55,20.00
2024,4,53,1204883.37,66,-19.70
2024,5,65,1976845.25,53,22.64
2024,6,50,1551025.65,65,-23.08
2024,7,63,950986.57,50,26.00
2024,8,65,2922589.58,63,3.17
2024,9,55,1417657.69,65,-15.38
2024,10,63,2518372.90,55,14.55
2024,11,44,1988026.83,63,-30.16
2024,12,52,1179496.65,44,18.18
