costo_directo,costo_investigacion,dias_perdidos,dias_sin_accidente,antiguedad_anos,severidad_num
3602.17,698.76,0,135,7,1
24569.84,4732.17,9,235,7,2
850.72,186.08,2,355,7,1
1825.47,424.25,2,326,7,1
97083.62,21760.90,5,348,7,3
483018.90,126803.96,61,204,7,4
707.75,204.65,1,310,7,1
3022.52,373.41,1,46,7,1
2612.69,733.06,0,252,7,1
1888.22,407.72,2,209,7,1
165357.41,17774.63,28,344,7,4
5343.41,1244.57,6,68,7,2
1338.07,301.12,0,195,7,1
41097.15,9591.67,9,232,7,3
21329.26,2996.15,5,260,7,2
3275.81,476.93,0,253,7,1
4767.37,1332.54,0,50,7,1
1008.87,216.18,0,263,7,1
24670.33,3020.93,5,180,7,2
26426.27,3782.42,28,121,22,3
491164.31,64631.43,45,330,22,4
1559.85,391.13,1,31,22,1
1424.38,371.56,1,274,22,1
2332.11,282.87,0,355,22,1
697.31,156.53,1,165,22,1
56092.33,5783.46,21,123,22,3
2336.12,488.99,0,292,22,1
12398.11,2850.09,6,152,22,2
18640.79,3379.00,8,310,22,2
4306.83,1278.95,2,88,22,1
3552.52,1035.69,1,44,22,1
1878.77,340.83,0,184,22,1
543.41,75.82,0,359,22,1
13398.02,1396.79,3,143,22,2
3021.43,838.36,2,80,22,1
276552.86,53806.96,25,164,22,4
1378.08,243.63,2,363,16,1
1622.93,184.30,1,214,16,1
1802.60,355.45,1,58,16,1
973.84,170.58,2,178,16,1
74475.32,16849.50,15,267,16,3
2639.73,441.72,0,11,16,1
19730.33,3319.17,2,28,16,2
1419.08,225.95,0,320,16,1
1751.62,326.80,1,72,16,1
1469.55,333.65,2,245,16,1
4441.87,471.87,0,191,16,1
21231.29,5266.22,1,203,16,2
3956.66,592.68,1,266,3,1
3273.57,914.49,1,70,3,1
3057.98,502.11,1,238,3,1
15834.42,4493.73,10,217,3,2
55238.58,14778.71,7,88,3,3
853.97,231.39,2,261,3,1
7255.23,2106.21,9,202,3,2
1979.84,545.90,0,149,3,1
69791.56,18151.89,18,67,3,3
2314.92,662.71,1,18,3,1
1430.33,176.69,1,241,3,1
14800.68,2682.01,1,312,3,2
10495.54,3101.39,9,268,2,2
1025.05,137.71,1,353,2,1
1921.33,216.54,2,357,2,1
1881.34,496.32,0,180,2,1
13226.18,2635.73,9,108,2,2
2376.50,337.20,1,357,2,1
18410.83,3962.86,10,94,2,2
787.84,123.58,2,261,2,1
85466.95,9920.75,29,149,2,3
4151.87,826.81,0,343,2,1
22370.97,4354.48,9,190,2,2
4271.79,1008.49,2,28,2,1
2232.48,607.07,1,82,2,1
2000.79,595.76,2,168,25,1
2269.59,434.50,0,253,25,1
251095.66,44710.13,82,254,25,4
1678.05,201.77,2,233,25,1
5645.15,721.60,10,32,25,2
20219.46,2896.67,2,42,25,2
2346.44,338.01,0,105,25,1
20774.94,2981.31,8,158,25,2
22896.87,4093.07,1,293,25,2
4807.19,583.71,1,76,25,1
8851.70,2340.95,1,67,25,2
10254.62,1509.38,2,341,25,2
25775.32,4506.51,29,97,25,3
4530.44,899.75,0,334,25,1
1780.31,417.22,1,42,25,1
21288.09,5916.37,10,335,25,2
15775.13,2179.74,3,165,25,2
9158.25,2488.95,7,263,25,2
4085.30,1011.09,0,286,9,1
2747.38,354.62,1,148,9,1
17526.32,2924.45,4,170,9,2
2234.22,381.30,1,56,9,1
111760.26,13562.01,36,170,9,4
729.41,140.15,2,338,9,1
775.16,155.04,0,340,9,1
11298.94,3376.70,1,355,9,2
16599.82,3681.36,7,194,9,2
3322.24,524.70,1,352,15,1
9411.37,1002.68,9,293,15,2
1007.99,197.29,0,365,15,1
1040.57,185.10,2,239,15,1
36939.32,4407.16,26,53,15,3
22143.46,6407.37,5,188,15,2
1431.89,380.21,2,183,15,1
88855.19,26132.46,14,231,15,3
4246.72,882.38,2,34,15,1
2026.04,436.32,2,326,15,1
4245.52,1094.16,0,65,15,1
11675.46,1373.54,2,13,15,2
900.74,115.47,0,140,15,1
81202.36,15715.62,20,129,15,3
15211.45,3646.03,3,80,1,2
1673.96,279.40,0,252,1,1
